model_label,n_tokens,n_chars,mtld,flesch_kincaid_grade,hedge_count_per_100tok,abstract_noun_ratio,past_term_per_100tok,present_term_per_100tok,future_term_per_100tok,is_question,disfluency_per_100tok,contraction_rate,lowercase_first_char,nonstandard_spelling
baseline_zs_gpt41,13.26535415881353,55.31236231394534,0.0,2.961208155559046,3.302390951825856,0.1436051883854298,0.6934701636659275,6.5762175809941725,2.724587430171441,0.49071649206571843,3.3049375905686347,3.155155924189146,0.4745002651972293,3.3345808926501754
deepseek_v3,83.7554653335904,309.50443793338496,0.0,2.9012589880016004,1.7205997097673655,0.11309333017210015,0.41998826310989673,3.9690801246512444,1.3049512110884303,0.49926238811847384,1.7511451471765973,1.7061556857609481,0.23647344473752552,2.0175530924462866
dpmodel_reasoning_gpt5mini,9.682574079379702,38.23998619293258,0.0,3.6055361537984534,1.8067359598119392,0.1347961548181207,0.6514353238232585,4.373697584897572,0.46065099803458426,0.29138503682901845,2.3670988915769464,5.1660477565809915,0.39814228589993755,3.3480267807479915
gemini25pro,5.289396084434034,21.537051390874872,0.0,4.30038269296778,3.176399113146995,0.17982449056882807,1.718555465672884,6.1275605653778875,1.6821751814348969,0.48115481384183173,6.019809822011117,5.588590443323723,0.43800404736673454,5.591743048777541
gpt5,22.412113502771046,84.73878256679762,0.0,2.983076425445545,1.6778209753989262,0.07768065325285882,0.6853734447314804,3.294617170634991,1.0775236511748183,0.5005571032368755,1.553883753869243,0.33961780540566217,0.3255044965242802,2.415695488069993
llama33_70b,20.92417832509805,89.5201724896407,0.0,3.1830071671411857,1.7640512926074083,0.16464148250510668,0.7351992047527939,4.141995326246093,2.029810941050395,0.39346072207121136,1.4164196342588111,3.4658569043117913,0.32597582896900473,2.228959487609053
opus47,11.542993131967929,46.034989566807354,0.0,3.977168000890722,2.2202841205952057,0.10987013258625443,0.710682604180146,6.291950255862919,1.8447175454860472,0.4961072681330793,5.840763679053626,3.5633809268078904,0.500207584122587,3.71858822514396
real,6.609303938443496,26.412325253687484,0.0,4.454550723168198,9.61689091095724,0.15792256364438348,2.1786115181346726,6.865557491047346,3.031973072153889,0.31341254721080314,13.177537757769452,3.9853979371397115,0.5005571032368753,15.828630565716297
sonnet46,13.933450283016676,59.311255020689956,0.0,3.360020055041837,2.1255402231738336,0.13691592942365985,0.9658423178329537,5.368467711480013,1.605808346678012,0.500735245367427,6.917526395116513,3.301008622235877,0.4932543851982259,2.760499514143148
