model_label,E_vs_I,N_vs_S,T_vs_F,J_vs_P,MBTI
real,-1.4796524294839646,0.5661447737087346,-0.29546996845067364,-1.315912262041818,INFP
opus47,-0.5126059113588602,-1.416501864159958,-0.4642219569088487,0.12512806864608772,ISFJ
sonnet46,-0.17525868009509418,-0.9010625373528863,-2.059627341478214,-0.6174798930436027,ISFP
gpt5,0.5489878859242068,-0.7293990959976647,2.6994759399510704,0.7703599157412364,ESTJ
gemini25pro,-0.814086904956594,0.062372393804637036,-1.6575722821718082,-0.1731284916569389,INFP
llama33_70b,1.2943066535688383,2.3157521865383788,0.23695540165181184,-1.8568264964462275,ENTP
deepseek_v3,2.424145281955198,0.496665295108479,1.9451639954699023,0.3185633272331817,ENTJ
dpmodel_reasoning_gpt5mini,-1.2858358955537326,-0.39397115164972185,-0.40470378806323926,2.749295831568083,ISFJ
